format,fa-icon
Art,fa-paint-brush
Article,fa-newspaper-o
article,fa-newspaper-o
Biography,fa-book
Book,fa-book
book,fa-book
Letter,fa-envelope-o
Museum Record,fa-archive
Official Record,fa-university
Photograph,fa-picture-o
Photography,fa-picture-o
Postcard,fa-envelope-o
Default,fa-file-o
